"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.87142170783093e-149,2.24471115832149,0.334,0.08,6.45560804721755e-145,"2","Klrb1c"
2.93653093001152e-168,1.90193452117217,0.48,0.147,3.89149078845127e-164,"2","S1pr5"
0,1.88073446872585,0.902,0.402,0,"2","Zeb2"
0,1.83439080564137,1,0.397,0,"2","Gzma"
1.07174127965705e-61,1.39553685988415,0.326,0.137,1.42027154380152e-57,"2","As3mt"
4.03721388498417e-129,1.2709429855046,0.621,0.271,5.35011584038102e-125,"2","Klrg1"
1.90431631802092e-160,1.21596988165152,0.8,0.411,2.52359998464132e-156,"2","Cx3cr1"
6.22951776856322e-43,1.10704943116599,0.375,0.205,8.25535694689998e-39,"2","Sgk1"
0,2.85699851428924,0.82,0.184,0,"3","Il7r"
2.16048282977516e-106,1.85943242342151,0.324,0.092,2.86307184601805e-102,"3","Kbtbd11"
1.30082178599798e-75,1.79876177007841,0.274,0.088,1.72384903080452e-71,"3","Gzmm"
1.03539058165767e-119,1.79020046757585,0.42,0.138,1.37209959881275e-115,"3","Gpr183"
7.35368755279843e-231,1.74942367075347,0.639,0.181,9.74510674496848e-227,"3","Tcf7"
8.66679636354274e-52,1.33515281920916,0.28,0.113,1.14852385409668e-47,"3","Crtam"
6.25400516868151e-81,1.31652369617193,0.458,0.201,8.28780764953674e-77,"3","Sidt1"
3.54234761577286e-57,1.29554786898827,0.305,0.121,4.69431906042219e-53,"3","Ms4a4c"
1.24185265964166e-43,1.17505313084239,0.28,0.122,1.64570314455713e-39,"3","Gnl3"
5.88624419223985e-38,1.17314007575683,0.261,0.117,7.80045080355625e-34,"3","Snhg12"
3.79584322999697e-177,2.36569043372799,0.37,0.074,5.03025144839199e-173,"4","Rchy1"
1.51357509753484e-113,2.21274036593355,0.262,0.056,2.00578971925318e-109,"4","Atg101"
2.29844280989748e-89,2.00650879302547,0.257,0.066,3.04589641167614e-85,"4","Zfp524"
2.02190861213271e-95,1.93439036432216,0.275,0.07,2.67943329279826e-91,"4","Bin3"
1.42963550740844e-104,1.86824941708615,0.324,0.088,1.89455297441766e-100,"4","Hpcal1"
1.63098226249281e-82,1.86177403258531,0.269,0.075,2.16137769425547e-78,"4","Unc50"
2.1691552906753e-81,1.82480608668056,0.261,0.072,2.87456459120291e-77,"4","Lin37"
3.55947388555227e-84,1.74999326211809,0.291,0.085,4.71701479313387e-80,"4","Rbfa"
1.14748976724143e-123,1.71543033941678,0.533,0.205,1.52065343954835e-119,"4","Ctla2b"
6.75771794053997e-71,1.66767221232135,0.282,0.091,8.95532781480356e-67,"4","Ube2f"
0,8.56166687551221,0.512,0.002,0,"5","Esco2"
0,7.42682156745748,0.296,0.002,0,"5","Pbk"
0,7.23737624791795,0.656,0.035,0,"5","Hist1h1b"
0,7.16385424031908,0.606,0.022,0,"5","Hist1h2ap"
0,6.93703422936103,0.35,0.004,0,"5","E2f8"
0,6.78424445953143,0.419,0.005,0,"5","Neil3"
0,6.65142381437447,0.412,0.006,0,"5","Mxd3"
0,6.44824939246282,0.475,0.007,0,"5","Rad51ap1"
0,6.35588398941782,0.553,0.024,0,"5","Hist1h2ae"
0,6.34353453121339,0.77,0.031,0,"5","Rrm2"
0,2.78383180272608,1,0.437,0,"6","Gzma"
