"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.1013652502263e-33,1.04553844638626,0.259,0.129,6.76032922959989e-29,"1","Ccdc85b"
5.23780225476754e-33,0.848587225786978,0.342,0.191,6.94113554801794e-29,"1","Ngdn"
5.65761829783668e-33,0.767032995888752,0.407,0.245,7.49747576829316e-29,"1","Casp3"
7.98155428678018e-33,0.409039097527916,0.854,0.74,1.05771557408411e-28,"1","Selenow"
9.81200616706547e-33,0.850034602223584,0.392,0.24,1.30028705725952e-28,"1","Arl5c"
4.68367647048792e-32,0.609496109817862,0.605,0.449,6.20680805869059e-28,"1","Zdhhc18"
5.30592303748586e-32,0.613795885638425,0.588,0.429,7.03140920927626e-28,"1","Ccdc88c"
6.37846822450185e-32,0.789594410645268,0.417,0.262,8.45274609110984e-28,"1","Lrrc8c"
6.45827196801921e-32,0.408893534497686,0.869,0.733,8.55850201201905e-28,"1","Atp1b3"
9.14498630837423e-32,1.1141223662387,0.255,0.13,1.21189358558575e-27,"1","Acsbg1"
3.1691079830061e-31,0.810720419756928,0.321,0.176,4.19970189907969e-27,"1","Psmc2"
3.23595752934872e-31,0.719969347294444,0.397,0.239,4.28829091789292e-27,"1","Eif6"
4.00508206014225e-31,0.656089535861119,0.547,0.385,5.30753474610051e-27,"1","Rpa2"
1.94757616848501e-30,0.58674432498323,0.618,0.465,2.58092793847633e-26,"1","Lfng"
1.9911651360529e-30,0.382484961632695,0.875,0.742,2.6386920382973e-26,"1","Ahnak"
2.3697097187728e-30,0.328175198413092,0.948,0.837,3.14033931931772e-26,"1","Ctsd"
3.98898109173087e-30,0.756571253600007,0.374,0.223,5.28619774276174e-26,"1","Svbp"
4.36721715223003e-30,0.775703593050937,0.38,0.23,5.78743617013523e-26,"1","Sap18"
4.55636484124943e-30,0.652166662464062,0.578,0.426,6.03809468762375e-26,"1","Atxn1"
7.05462521046837e-30,0.499315547586493,0.778,0.662,9.34878932891269e-26,"1","Dock2"
8.10195999539334e-30,0.899204077366587,0.295,0.162,1.07367173858952e-25,"1","Mea1"
2.0554851516717e-29,0.854906630443158,0.343,0.203,2.72392892299533e-25,"1","Vamp5"
2.38267986049713e-29,0.564334819282958,0.629,0.47,3.1575273511308e-25,"1","Ikzf3"
2.77444679373085e-29,0.969729752794231,0.28,0.153,3.67669689105212e-25,"1","Syt11"
5.59146866293256e-29,0.91660856206526,0.294,0.163,7.40981427211823e-25,"1","Galnt2"
